day;hour;count
1;00                                                                                                  ;4
1;01                                                                                                  ;5
1;02                                                                                                  ;1
1;03                                                                                                  ;4
1;04                                                                                                  ;6
1;05                                                                                                  ;5
1;06                                                                                                  ;3
1;07                                                                                                  ;4
1;08                                                                                                  ;2
1;09                                                                                                  ;3
1;10                                                                                                  ;1
1;11                                                                                                  ;2
1;12                                                                                                  ;3
1;13                                                                                                  ;6
1;14                                                                                                  ;7
1;15                                                                                                  ;12
1;16                                                                                                  ;9
1;17                                                                                                  ;12
1;18                                                                                                  ;13
1;19                                                                                                  ;8
1;20                                                                                                  ;4
1;21                                                                                                  ;9
1;22                                                                                                  ;4
1;23                                                                                                  ;6
2;00                                                                                                  ;13
2;01                                                                                                  ;9
2;02                                                                                                  ;7
2;03                                                                                                  ;8
2;04                                                                                                  ;5
2;05                                                                                                  ;8
2;06                                                                                                  ;3
2;07                                                                                                  ;3
2;08                                                                                                  ;4
2;09                                                                                                  ;3
2;10                                                                                                  ;4
2;11                                                                                                  ;7
2;12                                                                                                  ;2
2;13                                                                                                  ;13
2;14                                                                                                  ;23
2;15                                                                                                  ;19
2;16                                                                                                  ;24
2;17                                                                                                  ;25
2;18                                                                                                  ;13
2;19                                                                                                  ;15
2;20                                                                                                  ;13
2;21                                                                                                  ;10
2;22                                                                                                  ;5
2;23                                                                                                  ;7
3;00                                                                                                  ;5
3;01                                                                                                  ;7
3;02                                                                                                  ;6
3;03                                                                                                  ;8
3;04                                                                                                  ;10
3;05                                                                                                  ;5
3;06                                                                                                  ;3
3;07                                                                                                  ;4
3;08                                                                                                  ;4
3;09                                                                                                  ;3
3;10                                                                                                  ;5
3;11                                                                                                  ;6
3;12                                                                                                  ;13
3;13                                                                                                  ;11
3;14                                                                                                  ;18
3;15                                                                                                  ;20
3;16                                                                                                  ;29
3;17                                                                                                  ;27
3;18                                                                                                  ;24
3;19                                                                                                  ;9
3;20                                                                                                  ;17
3;21                                                                                                  ;13
3;22                                                                                                  ;13
3;23                                                                                                  ;10
4;00                                                                                                  ;10
4;01                                                                                                  ;8
4;02                                                                                                  ;10
4;03                                                                                                  ;8
4;04                                                                                                  ;5
4;05                                                                                                  ;5
4;06                                                                                                  ;5
4;07                                                                                                  ;8
4;08                                                                                                  ;8
4;09                                                                                                  ;2
4;10                                                                                                  ;4
4;11                                                                                                  ;7
4;12                                                                                                  ;10
4;13                                                                                                  ;17
4;14                                                                                                  ;16
4;15                                                                                                  ;12
4;16                                                                                                  ;23
4;17                                                                                                  ;26
4;18                                                                                                  ;16
4;19                                                                                                  ;10
4;20                                                                                                  ;14
4;21                                                                                                  ;17
4;22                                                                                                  ;20
4;23                                                                                                  ;10
5;00                                                                                                  ;7
5;01                                                                                                  ;7
5;02                                                                                                  ;7
5;03                                                                                                  ;8
5;04                                                                                                  ;8
5;05                                                                                                  ;10
5;06                                                                                                  ;6
5;07                                                                                                  ;7
5;08                                                                                                  ;5
5;09                                                                                                  ;7
5;10                                                                                                  ;3
5;11                                                                                                  ;7
5;12                                                                                                  ;10
5;13                                                                                                  ;15
5;14                                                                                                  ;20
5;15                                                                                                  ;20
5;16                                                                                                  ;27
5;17                                                                                                  ;23
5;18                                                                                                  ;16
5;19                                                                                                  ;7
5;20                                                                                                  ;9
5;21                                                                                                  ;9
5;22                                                                                                  ;12
5;23                                                                                                  ;10
6;00                                                                                                  ;9
6;01                                                                                                  ;4
6;02                                                                                                  ;9
6;03                                                                                                  ;7
6;04                                                                                                  ;9
6;05                                                                                                  ;21
6;06                                                                                                  ;1
6;07                                                                                                  ;6
6;08                                                                                                  ;12
6;09                                                                                                  ;6
6;10                                                                                                  ;7
6;11                                                                                                  ;9
6;12                                                                                                  ;9
6;13                                                                                                  ;13
6;14                                                                                                  ;17
6;15                                                                                                  ;18
6;16                                                                                                  ;16
6;17                                                                                                  ;19
6;18                                                                                                  ;16
6;19                                                                                                  ;14
6;20                                                                                                  ;14
6;21                                                                                                  ;10
6;22                                                                                                  ;14
6;23                                                                                                  ;9
7;00                                                                                                  ;7
7;01                                                                                                  ;4
7;02                                                                                                  ;4
7;03                                                                                                  ;2
7;04                                                                                                  ;2
7;05                                                                                                  ;2
7;06                                                                                                  ;2
7;07                                                                                                  ;2
7;08                                                                                                  ;2
7;10                                                                                                  ;2
7;11                                                                                                  ;2
7;12                                                                                                  ;5
7;13                                                                                                  ;6
7;14                                                                                                  ;6
7;15                                                                                                  ;16
7;16                                                                                                  ;15
7;17                                                                                                  ;11
7;18                                                                                                  ;13
7;19                                                                                                  ;13
7;20                                                                                                  ;9
7;21                                                                                                  ;6
7;22                                                                                                  ;7
7;23                                                                                                  ;4
